cMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "0.806517+0.345549*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "11.7303+-11.1556*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "-9.31085+10.6917*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "5.12686+-4.09343*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "2.85424+-1.79763*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 1.0033, 1.1, "0.945535"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, -1.1, -0.90455, "1.24936"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "0.528726+-0.901434*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "0.737289+-0.600802*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "1.12177+0.164553*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "0.968069+-0.300699*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.01959+0.0244554*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.02809+-0.607351*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.04382+-0.692204*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "0.422807+1.0461*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "0.876626+0.125946*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "0.821107+0.219539*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "1.37083+-0.573479*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "1.19928+-0.357211*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "0.686425+0.216969*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "9.2635+-8.81343*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "-7.26459+8.34791*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "3.95772+-3.14447*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "2.40998+-1.58094*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 1.0033, 1.1, "0.76575"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -1.1, -0.90455, "1.13692"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "1.31918+0.207789*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "0.84768+-0.471852*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "1.21885+0.267023*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "1.02391+-0.323103*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.08122+0.0386037*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.09103+-0.6909*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.10982+-0.792273*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "0.431115+1.10753*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "0.905571+0.145534*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "0.840593+0.255072*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "1.44189+-0.612349*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "1.21762+-0.329604*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "1.13941+-0.242043*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "9.12793+-8.65279*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "-8.0608+9.19451*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "3.21684+-2.35453*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "1.99733+-1.12258*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 1.0033, 1.1, "0.875427"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -1.1, -0.90455, "1.02906"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "1.34852+0.359383*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "0.821604+-0.400142*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "1.2202+0.393314*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "1.02254+-0.20502*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.07661+0.13623*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.08649+-0.598329*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.10529+-0.699777*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "0.395785+1.28625*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "0.958117+0.146074*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "0.884642+0.269936*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "1.48409+-0.59482*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "1.34279+-0.416676*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "0.303176+0.747241*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "10.7975+-10.3018*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "-7.63136+8.83319*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "5.35896+-4.46974*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "3.07349+-2.16095*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 1.0033, 1.1, "0.91037"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -1.1, -0.90455, "1.04429"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "1.44293+0.447834*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "0.841133+-0.419625*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "1.20983+0.314322*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "1.01467+-0.276461*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.07281+0.0904705*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.08249+-0.629733*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.09889+-0.718182*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "0.391803+1.26106*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "0.94321+0.143041*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "0.865487+0.274064*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "1.45611+-0.577953*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "1.31194+-0.396202*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "0.295855+0.741377*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "10.6324+-10.1415*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "-7.56911+8.75739*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "5.27748+-4.39836*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "3.01719+-2.11501*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 1.0033, 1.1, "0.900758"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -1.1, -0.90455, "1.12247"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "1.22192+0.115252*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "0.827926+-0.452674*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "1.22946+0.346647*x"
