CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "1.13673"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "1.21223+0.0424972*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.88299+-1.60597*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-0.12577+1.89911*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.6711+-2.51097*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "0.301776+0.896168*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "1.11213+-0.174874*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "2.10815+-1.39281*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-3.26777+4.86591*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "4.96187+-4.48596*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "0.820869+0.110048*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.22389+-4.66546*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-1.09395+2.03427*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "2.28475+-1.48834*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.4252+2.33458*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "3.01239+-2.1855*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "8.5935+-7.80567*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.70358"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -15, 0, "1.69211"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "1.02808"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.964065+0.479521*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.76985+-1.50077*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-0.852904+3.07565*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.70869+-2.54022*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "0.0883516+1.22787*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "1.00643+0.0144515*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "2.37997+-1.66511*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-3.68342+5.39397*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.20878+-4.71081*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "0.673368+0.322945*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.50436+-4.91674*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-0.945246+1.92271*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "2.19087+-1.34697*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.56198+2.52015*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "2.0675+-1.1768*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "16.792+-16.0043*x"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.717333"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -15, 0, "1.42202"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "0.886312"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.776389+0.799258*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.58056+-1.17707*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-1.01767+3.35657*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.60226+-2.3513*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "0.106508+1.23764*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "1.00368+0.0518547*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "1.8772+-1.01628*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-3.69703+5.4733*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.34257+-4.79897*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "0.92279+0.106446*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.69532+-5.06983*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-1.53456+2.59705*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "2.632+-1.74696*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.53997+2.55205*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "4.38186+-3.47986*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "1.90962+-0.990317*x"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.91659"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -15, 0, "1.65232"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "0.94157"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.866329+0.546552*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.66976+-1.42797*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-1.17083+3.52856*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.48085+-2.22936*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "-0.054836+1.41701*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "0.882315+0.178372*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "1.92111+-1.09186*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-3.832+5.60598*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.1508+-4.60174*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "0.740108+0.293584*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.53661+-4.9087*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-1.60201+2.66142*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "2.46458+-1.57836*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.66872+2.68079*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "4.21922+-3.31659*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "1.70515+-0.784935*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.917902"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -15, 0, "1.45888"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "0.972317"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.872949+0.735244*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.6794+-1.2467*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-0.697833+2.90133*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.83132+-2.6634*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "0.251636+1.04624*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "1.12916+-0.113593*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "2.3353+-1.58845*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-3.5465+5.25922*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.40241+-4.91*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "0.858203+0.133514*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.6645+-5.07939*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-0.876913+1.85742*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "2.36013+-1.51749*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.43154+2.38964*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "2.23199+-1.342*x"
